,JAHR,KT,Status,Inst,Adr,Ort,Typ,Notfalldienst,Infrastruktur1,Infrastruktur2,Infrastruktur3,Infrastruktur4,RWStatus,Akt,SL,WB,AnzStand,SA,RForm,LA,AmbKonsT,Ptage,PtageStatT,PtageStatMST,Aust,AustStatT,AustStatMST,Neug,NeugStatT,NeugStatMST,pAkutPT,Ops,Gebs,CMIb,CMIn,pAuPat,pPatWAU,pAkPat,pPatWAK,pZusVers,pPatLKP,pPatHOK,TeilsP,Leist,FMHKat,PersA,PersAWB,PersP,PersMT,PersS,PersT,StdBelA,StdBelP,PersAFall,PersPFall,PersMTFall,PersSFall,PersTFall,PersAFallMS,PersPFallMS,PersMTFallMS,PersTFallMS,AnzBelA,AnzBelP (nur ab KZP2010),pMRI_AMB,pMRI_STAT,pCT_AMB,pCT_STAT,pANGIO_AMB,pANGIO_STAT,pDIA_AMB,pDIA_STAT,AwBesold,AwInvest,AwSonst,AwT,EtMedL,EtSonst,EtSubv,EtDef,FiErg,EtAmb,AmbKonsA,PtageStatA,PtageStatMSA,AustStatA,AustStatMSA,Betten,BettenStatA,DAD,DADakut,DADStatA,DADStatMSA,DADlong,pBettenBel,pBettenBelStatA,KostAmbA,KostOKPAmbA,KostStatA,KostKVGStatA,AnlKVGStatA,KostZvOKPStatA,AnlZvOKPStatA,KostLangA,AuftragLFA,KostAWLFA,KostWBLFA,KostForLFA,ErlAmbStatLangA,ErlAmbA,ErlOKPAmbA,ErlStatA,ErlKVGStatA,ErlKVGStatVA,ErlZvOKPStatA,ErlZvOKPStatVA,ErlLangA,AmbKonsP,PtageStatP,PtageStatMSP,AustStatP,AustStatMSP,BettenStatP,DADStatP,DADStatMSP,pBettenBelStatP,KostAmbP,KostOKPAmbP,KostStatP,KostKVGStatP,AnlKVGStatP,KostZvOKPStatP,AnlZvOKPStatP,KostLangP,AuftragLFP,KostAWLFP,KostWBLFP,KostForLFP,ErlAmbStatLangP,ErlAmbP,ErlOKPAmbP,ErlStatP,ErlKVGStatP,ErlKVGStatVP,ErlZvOKPStatP,ErlZvOKPStatVP,ErlLangP,AmbKonsR,PtageStatR,PtageStatMSR,AustStatR,AustStatMSR,BettenStatR,DADStatR,DADStatMSR,pBettenBelStatR,KostAmbR,KostOKPAmbR,KostStatR,KostKVGStatR,AnlKVGStatR,KostZvOKPStatR,AnlZvOKPStatR,KostLangR,AuftragLFR,KostAWLFR,KostWBLFR,KostForLFR,ErlAmbStatLangR,ErlAmbR,ErlOKPAmbR,ErlStatR,ErlKVGStatR,ErlKVGStatVR,ErlZvOKPStatR,ErlZvOKPStatVR,ErlLangR,AmbKonsB,PtageStatB,PtageStatMSB,AustStatB,AustStatMSB,BettenStatB,DADStatB,DADStatMSB,pBettenBelStatB,KostAmbB,KostOKPAmbB,KostStatB,KostKVGStatB,AnlKVGStatB,KostZvOKPStatB,AnlZvOKPStatB,KostLangB,AuftragLFB,KostAWLFB,KostWBLFB,KostForLFB,ErlAmbStatLangB,ErlAmbB,ErlOKPAmbB,ErlStatB,ErlKVGStatB,ErlKVGStatVB,ErlZvOKPStatB,ErlZvOKPStatVB,ErlLangB,PTageLang,AustLang,KostLangT
10,2008,AG,privat,RehaClinic Zurzach,Quellenstrasse 34,5330 Bad Zurzach,K221,Nein,,,,,,,,,,,,,,86238.0,,,3526.0,,,0.0,,,0.0,0.0,,,,0.794100964,,73.79466818,,31.45207033,,,0.0,12.0,5.0,32.05,,122.52,,225.53,380.1,,,0.908961997,3.474758934,,6.39619966,10.77992059,,,,,0.0,,,,,,,,,,38177.0,6617.0,13238.0,58032.0,53714.0,2801.0,976.0,,-541.0,5616.0,,,,,,264.0,,24.45774248,0.0,,,24.45774248,89.49564134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2008,AG,öffentlich oder subventioniert,Rehaklinik Bellikon,Mutschellenstrasse 2,5454 Bellikon,K221,Nein,,,,,,,,,,,,,,70050.0,,,1621.0,,,0.0,,,0.0,0.0,,,,6.230721777,,77.66810611,,7.34114744,,,0.0,15.0,3.0,36.38,,67.58,,243.36,347.32,,,2.244293646,4.169031462,,15.01295497,21.42628007,,,,,0.0,,,,,,,,,,43624.0,6273.0,11060.0,60957.0,59179.0,2247.0,0.0,,469.0,7385.0,,,,,,205.0,,43.21406539,0.0,,,43.21406539,93.36265494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2008,AG,privat,Reha Rheinfelden,Salinenstrasse 98,4310 Rheinfelden,K221,Nein,,,,,,,,,,,,,,56457.0,,,1912.0,,,0.0,,,0.0,0.0,,,,2.719665272,,62.0292887,,35.09414226,,,43.0,6.0,6.0,32.38,,94.14,,251.49,378.01,,,1.693514644,4.923640167,,13.15324268,19.77039749,,,,,0.0,,,,,,,,,,33338.0,4384.0,7324.0,45046.0,43769.0,1615.0,0.0,,338.0,0.0,,,,,,171.0,,29.52771967,0.0,,,29.52771967,90.20707506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2008,AG,privat,aarReha Schinznach,Badstrasse 55,5116 Schinznach Bad,K221,Nein,,,,,,,,,,,,,,32577.0,,,1573.0,,,0.0,,,0.0,0.0,,,,0.254291163,,43.42021615,,33.88429752,,,0.0,17.0,6.0,14.03,,32.06,,86.72,132.81,,,0.891926256,2.038143675,,5.513032422,8.443102352,,,,,2.0,,,,,,,,,,11549.0,1041.0,3273.0,15863.0,15525.0,492.0,0.0,,154.0,1496.0,,,,,,96.0,,20.71010807,0.0,,,20.71010807,92.71687158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2008,AG,privat,Bad Schinznach AG Privat_Klinik Im Park,Badstrasse 50,5116 Schinznach Bad,K221,Nein,,,,,,,,,,,,,,16921.0,,,744.0,,,0.0,,,0.0,0.0,,,,0.672043011,,65.32258065,,87.7688172,,,0.0,8.0,0.0,3.5,,22.2,,85.35,111.05,,,0.470430108,2.983870968,,11.47177419,14.92607527,,,,,1.0,,,,,,,,,,9276.0,1169.0,3841.0,14286.0,14334.0,513.0,0.0,,561.0,1409.0,,,,,,55.0,,22.74327957,0.0,,,22.74327957,84.28891656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2008,AG,privat,"Salina Medizin AG, Privatklinik SALINA",Roberstenstrasse 31,4310 Rheinfelden,K221,Nein,,,,,,,,,,,,,,6605.0,,,366.0,,,0.0,,,0.0,0.0,,,,1.092896175,,89.07103825,,90.98360656,,,0.0,2.0,2.0,1.5,,14.43,,8.7,24.63,,,0.409836066,3.942622951,,2.37704918,6.729508197,,,,,0.0,,,,,,,,,,2086.0,571.0,897.0,3554.0,3486.0,0.0,0.0,,-68.0,0.0,,,,,,28.07671233,,18.04644809,0.0,,,18.04644809,64.45160031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2008,AG,privat,Klinik Villa im Park AG,Bernstrasse 84,4852 Rothrist,K232,Nein,,,,,,,,,,,,,,9050.0,,,2081.0,,,507.0,,,100.0,2.0,,0.615,0.603,0.0,,65.49735704,,20.75925036,,,49.0,18.0,0.0,0.0,,35.1,,59.8,94.9,,,0.0,1.686689092,,2.873618453,4.560307544,,,,,44.0,,,,,,,,,,6141.0,906.0,3690.0,10737.0,10132.0,180.0,0.0,,-425.0,102.0,,,,,,29.0,,4.348870735,4.348870735,,,0.0,85.49834672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2008,AG,privat,Klinik Sonnenblick,Mooshaldenstrasse 6,5430 Wettingen,K232,Nein,,,,,,,,,,,,,,6155.0,,,1395.0,,,441.0,,,100.0,2.0,,0.528,0.519,0.071684588,,12.54480287,,27.59856631,,,0.0,23.0,0.0,0.0,,19.75,,35.05,54.8,,,0.0,1.415770609,,2.512544803,3.928315412,,,,,35.0,,,,,,,,,,7019.0,492.0,1941.0,9452.0,8687.0,280.0,0.0,,-485.0,1255.0,,,,,,28.0,,4.41218638,4.41218638,,,0.0,60.22504892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2008,AG,privat,Geburtshus Storchenäscht AG,Bahnhofstrasse 11,5600 Lenzburg,K232,Nein,,,,,,,,,,,,,,565.0,,,119.0,,,119.0,,,100.0,0.0,,0.355,0.355,0.0,,14.28571429,,14.28571429,,,0.0,3.0,0.0,0.0,,2.0,,5.8,7.8,,,0.0,1.680672269,,4.87394958,6.554621849,,,,,5.0,,,,,,,,,,399.0,130.0,126.0,655.0,670.0,0.0,0.0,,15.0,0.0,,,,,,2.02739726,,4.74789916,4.74789916,,,0.0,76.35135135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2008,AG,öffentlich oder subventioniert,Klinik Barmelweid AG,,5017 Barmelweid,K235,Nein,,,,,,,,,,,,,,46820.0,,,2340.0,,,0.0,,,67.46262281,0.0,,,,0.213675214,,26.62393162,,25.94017094,,,0.0,15.0,5.0,34.4,,80.79,,153.09,268.28,,,1.47008547,3.452564103,,6.542307692,11.46495726,,,,,4.0,,,,,,,,,,25856.0,1070.0,10709.0,37635.0,34913.0,1229.0,1561.0,,68.0,96.0,,,,,,130.0,,20.00854701,20.04187817,,,19.93979058,98.40269021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2008,AG,privat,Klinik für Schlafmedizin,Badstrasse 33,5330 Bad Zurzach,K235,Nein,,,,,,,,,,,,,,1751.0,,,155.0,,,0.0,,,100.0,0.0,,,,6.451612903,,57.41935484,,60.0,,,0.0,13.0,0.0,6.0,,7.0,,4.65,17.65,,,3.870967742,4.516129032,,3.0,11.38709677,,,,,0.0,,,,,,,,,,2468.0,611.0,1111.0,4190.0,4507.0,43.0,0.0,,360.0,0.0,,,,,,4.797260274,,11.29677419,11.29677419,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2008,AI,öffentlich oder subventioniert,Kantonales Spital und Pflegeheim,Sonnhalde 2,9050 Appenzell,K123,Ja,,,,,,,,,,,,,,9618.0,,,1617.0,,,118.0,,,100.0,2.0,,0.652,0.695,4.205318491,,23.00556586,,33.33333333,,,0.0,28.0,0.0,2.22,,38.37,,64.06,104.65,,,0.13729128,2.372912801,,3.96165739,6.471861472,,,,,22.0,,,,,,,,,,10741.0,1744.0,3120.0,15605.0,9448.0,581.0,5576.0,,0.0,1922.0,,,,,,30.0,,5.948051948,5.948051948,,,0.0,87.83561644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2008,AI,privat,Hof Weissbad AG Nachbehandlungszentrum,Im Park 1,9057 Weissbad,K221,Nein,,,,,,,,,,,,,,5974.0,,,371.0,,,0.0,,,0.0,0.0,,,,1.617250674,,97.84366577,,100.0,,,0.0,3.0,3.0,1.3,,0.8,,8.8,10.9,,,0.350404313,0.215633423,,2.371967655,2.938005391,,,,,2.0,,,,,,,,,,1583.0,379.0,1675.0,3637.0,3555.0,0.0,0.0,,-82.0,0.0,,,,,,16.37260274,,16.10242588,0.0,,,16.10242588,99.9665328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2008,AR,öffentlich oder subventioniert,Spitalverbund AR Spital Herisau,Spitalstrasse 6,9100 Herisau,K122,Ja,,,,,,,,,,,,,,28368.0,,,3996.0,,,461.0,,,100.0,3.0,,0.834,0.861,0.425425425,,25.72572573,,18.51851852,,,0.0,30.0,6.0,34.59,,109.29,,154.0,297.88,,,0.865615616,2.734984985,,3.853853854,7.454454454,,,,,26.0,,,,,,,,,,29912.0,2095.0,13759.0,45766.0,29029.0,2894.0,13843.0,,0.0,8862.0,,,,,,77.72054795,,7.099099099,7.099099099,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2008,AR,öffentlich oder subventioniert,Spitalverbund AR Spital Heiden,Werdstrasse 1,9410 Heiden,K122,Ja,,,,,,,,,,,,,,15550.0,,,2346.0,,,452.0,,,100.0,2.0,,0.667,0.678,0.298380222,,37.55328218,,18.49957374,,,0.0,27.0,5.0,22.68,,66.06,,96.33,185.07,,,0.966751918,2.815856777,,4.106138107,7.888746803,,,,,18.0,,,,,,,,,,19207.0,1670.0,6494.0,27371.0,16896.0,2151.0,8324.0,,0.0,5645.0,,,,,,42.60273973,,6.628303495,6.628303495,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2008,AR,öffentlich oder subventioniert,Spitalverbund AR Psychiatrisches Zentrum,Krombach 3,9100 Herisau,K211,Nein,,,,,,,,,,,,,,58292.0,,,544.0,,,0.0,,,0.0,0.0,,,,0.367647059,,33.63970588,,0.0,,,0.0,8.0,2.0,18.2,,146.98,,86.02,251.2,,,3.345588235,27.01838235,,15.8125,46.17647059,,,,,1.0,,,,,,,,,,21206.0,754.0,5213.0,27173.0,15845.0,1157.0,10171.0,,0.0,1601.0,,,,,,159.7041096,,107.1544118,0.0,,,107.1544118,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2008,AR,privat,Klinik Gais AG,Gäbrisstrasse 1172,9056 Gais,K221,Nein,,,,,,,,,,,,,,43519.0,,,1840.0,,,0.0,,,52.00257359,0.0,,,,0.0,,93.26086957,,29.7826087,,,0.0,5.0,3.0,16.4,,13.45,,72.59,102.44,,,0.891304348,0.730978261,,3.945108696,5.567391304,,,,,0.0,,,,,,,,,,9111.0,620.0,3899.0,13630.0,13866.0,1472.0,0.0,,1708.0,173.0,,,,,,136.0,,23.65163043,22.60839161,,,24.89630513,87.66921837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
